CELL_V_AVG,Torque_Measured,MotorTemperature,DC_Link_Voltage,DC_Link_Current,Average_Velocity,Load,Direction,Season,slope,speed_ms,acc_ms2,cell_voltage_diff,soc_net_per_s
3316.5,12.56,84.68,49.6875,14.17,15,Loaded,CISAR,Summer,0.0,0.0449346405228758,0.0,7.539999999999964,0.0
3313.15,24.26,84.52,49.593125,30.35,15,Loaded,CISAR,Summer,0.0,0.4882154882154882,0.4432808476926124,7.4699999999998,0.007999999999995566
3311.55,22.0,84.47,49.530625,34.48,15,Loaded,CISAR,Summer,0.0,0.9680134680134681,0.4797979797979799,7.830000000000382,0.0020000000000024443
3309.8900000000003,22.52,84.65,49.4825,41.73,15,Loaded,CISAR,Summer,0.0,1.3480392156862744,0.3800257476728063,7.839999999999691,-0.0
3308.0,23.06,84.63,49.441875,47.54,15,Loaded,CISAR,Summer,0.0,1.6498316498316499,0.3017924341453755,7.529999999999745,0.0040000000000048885
3304.2100000000005,29.42,84.7,49.27625,70.61,15,Loaded,CISAR,Summer,8.847910035684666,1.9570707070707072,0.3072390572390573,8.379999999999654,0.005999999999993122
3298.4700000000003,33.58,84.76,49.096875,93.46,15,Loaded,CISAR,Summer,-242.1790479965125,2.4877450980392157,0.5306743909685085,8.640000000000327,0.004000000000011994
3294.1400000000003,33.22,84.72,49.003125,104.97,15,Loaded,CISAR,Summer,0.0,3.0134680134680134,0.5257229154287977,11.2199999999998,0.005999999999993122
3292.91,30.64,84.76,48.96875,104.54,15,Loaded,CISAR,Summer,0.0,3.4343434343434343,0.42087542087542085,9.230000000000473,0.00999999999999801
3291.3900000000003,30.0,84.7,48.928125,109.32,15,Loaded,CISAR,Summer,34.129179881887616,3.7867647058823537,0.35242127153891945,13.789999999999964,0.007999999999995566
3288.53,30.0,84.8,48.859375,118.2,15,Loaded,CISAR,Summer,38.384638364708955,4.217171717171717,0.43040701128936343,11.739999999999782,0.009000000000007446
3288.4600000000005,25.84158415841584,84.83,48.9075,107.1980198019802,15,Loaded,CISAR,Summer,5.668177942042403,4.511784511784512,0.294612794612795,8.790000000000418,0.009000000000000341
3292.78,19.8,84.9,49.058125,83.56,15,Loaded,CISAR,Summer,0.0,4.7099673202614385,0.19818280847692638,10.88000000000011,0.0049999999999954525
3293.95,17.61,84.93,49.111875,75.76,15,Loaded,CISAR,Summer,7.317069480943802,4.722222222222222,0.012254901960783826,8.650000000000091,0.009000000000000341
3295.51,16.05,85.0,49.136875,68.76,15,Loaded,CISAR,Summer,0.0,4.722222222222222,0.0,9.460000000000036,0.0049999999999954525
3295.54,16.0,84.98,49.139375,68.46,15,Loaded,CISAR,Summer,0.0,4.685457516339869,-0.036764705882353255,8.759999999999309,0.005000000000009663
3296.9,14.36,85.0,49.196875,59.86,15,Loaded,CISAR,Summer,2.191024663915546,4.591750841750843,-0.09370667458902648,8.379999999999654,0.006999999999990791
3298.95,11.75,84.98,49.275625,48.22,15,Loaded,CISAR,Summer,2.283613560439979,4.482323232323233,-0.10942760942760987,8.599999999999909,0.0030000000000143245
3300.3700000000003,11.0,84.98,49.3125,43.9,15,Loaded,CISAR,Summer,6.778896004625887,4.330065359477125,-0.15225787284610792,7.919999999999618,-0.0
3300.55,11.0,85.0,49.32125,42.58,15,Loaded,CISAR,Summer,4.967384369388765,4.103535353535354,-0.22653000594177097,8.200000000000273,0.00899999999998613
3301.3200000000006,11.0,85.0,49.33125,40.62,15,Loaded,CISAR,Summer,2.6867886080173777,3.876262626262627,-0.22727272727272663,7.900000000000091,0.0010000000000047748
3301.4100000000008,11.75,84.98,49.33,41.06,15,Loaded,CISAR,Summer,2.745119309933076,3.6519607843137254,-0.2243018419489018,7.899999999999636,-0.0
3300.6200000000003,14.34,85.04,49.303125,48.3,15,Loaded,CISAR,Summer,5.63748835926924,3.446969696969697,-0.2049910873440286,8.639999999999873,0.009000000000000341
3298.7,17.74,85.0,49.225,58.54,15,Loaded,CISAR,Summer,3.130138790359802,3.337542087542088,-0.10942760942760899,7.970000000000255,0.0010000000000047748
3295.85,20.89,85.0,49.1425,70.24,15,Loaded,CISAR,Summer,0.0,3.361928104575164,0.02438601703307608,9.790000000000418,0.005999999999993122
3295.1800000000003,21.0,85.0990099009901,49.13985148514851,71.78,15,Loaded,CISAR,Summer,5.847495044665852,3.4722222222222223,0.11029411764705843,8.139999999999873,0.0040000000000048885
3294.31,21.0,85.04,49.12375,73.04,15,Loaded,CISAR,Summer,6.403039214299033,3.5521885521885523,0.07996632996633002,9.269999999999982,0.007999999999995566
3293.9700000000003,21.0,85.06,49.1025,74.5,15,Loaded,CISAR,Summer,-3.175360562097419,3.623366013071896,0.07117746088334354,9.070000000000164,0.0020000000000024443
3292.3700000000003,22.79,85.02,49.04625,82.48,15,Loaded,CISAR,Summer,2.9347170504260927,3.7584175084175087,0.13505149534561278,9.980000000000473,0.009999999999990905
3290.2300000000005,24.0,85.0,48.98625,89.12,15,Loaded,CISAR,Summer,0.0,3.9393939393939394,0.1809764309764308,12.109999999999673,0.006000000000007333
3289.3900000000003,23.95,85.0,48.9525,91.94,15,Loaded,CISAR,Summer,5.6770997178864615,4.0931372549019605,0.153743315508021,8.239999999999327,0.003999999999997783
3288.5600000000004,22.28,85.02,48.9675,88.18,15,Loaded,CISAR,Summer,2.765698147112719,4.250841750841752,0.1577044959397913,12.679999999999836,0.010000000000005116
3290.38,20.29,85.04,49.0075,80.28,15,Loaded,CISAR,Summer,11.34999249563075,4.305555555555555,0.054713804713803604,9.540000000000418,0.006000000000000227
